month,cbot_corn_close_last,cbot_corn_close_mean,cbot_corn_monthly_return,cbot_corn_trading_days,cbot_corn_open_first,cbot_corn_high_max,cbot_corn_low_min,cbot_corn_成交量_sum,dce_corn_close_last,dce_corn_close_mean,dce_corn_monthly_return,dce_corn_trading_days,dce_corn_open_first,dce_corn_high_max,dce_corn_low_min,dce_corn_settlement_last,dce_corn_主力成交量_lots_one_side_sum,dce_corn_主力成交额_ten_thousand_yuan_one_side_sum,dce_corn_主力持仓量_lots_one_side_last,dce_corn_主力前结算价_元_吨_last,domestic_wheat_郑商所普麦结算价_元每吨_last,domestic_wheat_郑商所普麦结算价_元每吨_mean,domestic_wheat_郑商所普麦结算价_元每吨_monthly_return,domestic_wheat_郑商所强麦结算价_元每吨_last,domestic_wheat_郑商所强麦结算价_元每吨_mean,domestic_wheat_郑商所强麦结算价_元每吨_monthly_return,domestic_wheat_原国内现货价格_元每吨_last,domestic_wheat_原国内现货价格_元每吨_mean,domestic_wheat_原国内现货价格_元每吨_monthly_return,domestic_wheat_国内现货发布价_元每吨_last,domestic_wheat_国内现货发布价_元每吨_mean,domestic_wheat_国内现货发布价_元每吨_monthly_return,domestic_wheat_国内现货价格_补全_元每吨_last,domestic_wheat_国内现货价格_补全_元每吨_mean,domestic_wheat_国内现货价格_补全_元每吨_monthly_return,domestic_wheat_国内普麦期货价格_补全_元每吨_last,domestic_wheat_国内普麦期货价格_补全_元每吨_mean,domestic_wheat_国内普麦期货价格_补全_元每吨_monthly_return,domestic_wheat_国内强麦期货价格_补全_元每吨_last,domestic_wheat_国内强麦期货价格_补全_元每吨_mean,domestic_wheat_国内强麦期货价格_补全_元每吨_monthly_return,domestic_wheat_郑商所普麦成交量_sum,domestic_wheat_郑商所强麦成交量_sum,domestic_wheat_郑商所普麦持仓量_last,domestic_wheat_郑商所强麦持仓量_last,domestic_wheat_observation_days,corn_import_年份,corn_import_月份,corn_import_商品大类编码,corn_import_进口数量_千克,corn_import_进口金额_人民币,corn_import_unit_price_yuan_per_kg,weather_内蒙古自治区_precipitation_sum_mm,weather_内蒙古自治区_precipitation_mean_mm,weather_内蒙古自治区_temperature_mean_c,weather_内蒙古自治区_temperature_min_c,weather_内蒙古自治区_temperature_max_c,weather_内蒙古自治区_grid_point_count_last,weather_吉林_precipitation_sum_mm,weather_吉林_precipitation_mean_mm,weather_吉林_temperature_mean_c,weather_吉林_temperature_min_c,weather_吉林_temperature_max_c,weather_黑龙江_precipitation_sum_mm,weather_黑龙江_precipitation_mean_mm,weather_黑龙江_temperature_mean_c,weather_黑龙江_temperature_min_c,weather_黑龙江_temperature_max_c,dce_corn_close_current_month_ret,pca_001,pca_002,pca_003,pca_004,pca_005,pca_006,pca_007,pca_008,pca_009,pca_010,pca_011,pca_012,pca_013,pca_014,pca_015,pca_016,pca_017,pca_018,pca_019,pca_020,pca_021,pca_022,pca_023,pca_024,pca_025,pca_026,pca_027,pca_028,pca_029,pca_030,pca_031,pca_032,dce_corn_close_next_month,dce_corn_close_next_month_ret,dce_corn_close_next_month_direction,spike
2016-06,358.75,410.2613636363636,-0.113650401,22,404.25,439.25,355.75,4551294,1581,1596.2,-0.021052632,20,1608,1680,1540,1577,8329030,13341051.66,747699,1566,2357,2348.75,-0.026837325,2671,2676.3,0.0003745318352059,2389.33,2395.7985,-0.004997231,2389.33,2395.7985,-0.004997231,2389.33,2396.487666666667,-0.004997231,2357,2349.9666666666667,-0.026837325,2671,2677.866666666667,0.0003745318352059,34,44202,12,8376,30,2016,6,1005,66942462,92087161,1.3756165854790343,15.184,3.0368000000000004,20.1824,18.451,21.695,417,23.09,4.618,20.3978,19.297,21.282,24.47,4.894,19.3286,17.91,20.326,-0.021052632,-0.31119314,0.0030433817,-0.009078081,-0.097567715,-0.05666091,0.15025705,-0.10167521,0.012491171,-0.08045557,-0.08151358,0.08465382,0.0028399182,-0.11342128,0.07721375,-0.04426815,-0.0069189896,-0.049936958,0.028009437,0.087323956,-0.00449902,-0.06413399,0.104342066,0.023581302,-0.11204614,0.026118467,-0.012262188,-0.09053419,0.065577,0.028060503,0.09393792,0.020661918,0.019767553,1446,-0.085388994,0,0.0
2016-07,334.5,343.3,-0.067595819,20,360.75,374.5,326.75,1065695,1446,1505.428571428571,-0.085388994,21,1580,1594,1444,1453,8730723,13246495.02,0,1470,2314,2352.5238095238096,-0.01824353,2602,2606.3809523809523,-0.025833021,2365.33,2372.9838095238097,-0.010044657,2365.33,2372.9838095238097,-0.010044657,2365.33,2373.2683870967744,-0.010044657,2314,2352.1612903225805,-0.01824353,2602,2605.483870967742,-0.025833021,10,34552,10,7546,31,2016,7,1005,28984618,51259085,1.768492688087178,71.566,2.3085806451612902,23.57735483870968,19.939,26.294,417,101.42799999999998,3.271870967741935,22.87577419354839,19.406,26.403,88.33399999999999,2.8494838709677417,21.654677419354844,17.873,24.734,-0.085388994,-0.25021657,0.18833618,0.061926216,-0.04639072,-0.05318729,-0.03148188,-0.14355251,0.16591369,0.031935513,-0.028402885,-0.030687945,0.08868733,-0.0083001135,0.010856832,0.1504111,-0.10995224,0.110121466,0.0012988684,0.026247157,-0.013344721,0.046684068,0.09237553,-0.012656121,-0.12127442,-0.020039907,0.052237578,-0.0315688,-0.07604707,0.03393105,0.0117854355,0.0029102387,-0.0032050663,1450,0.0027662517289073,1,0.0
2016-08,301.5,323.0434782608696,-0.098654709,23,332.5,334.75,301.0,2343872,1450,1460.2608695652175,0.0027662517289073,23,1450,1496,1438,1456,7035569,10291344.249999998,1017207,1467,2350,2312.4347826086955,0.0155574762316335,2588,2617.391304347826,-0.005380477,2373.33,2369.041739130435,0.0033821919140246,2373.33,2369.041739130435,0.0033821919140246,2373.33,2369.1167741935483,0.0033821919140246,2350,2310.774193548388,0.0155574762316335,2588,2617.870967741936,-0.005380477,2,29382,8,9360,31,2016,8,1005,26550435,46233313,1.741339190864481,52.416,1.6908387096774196,21.95635483870968,15.35,27.746,417,114.08100000000002,3.6800322580645166,22.46864516129032,14.789,28.508,86.29799999999999,2.783806451612903,20.400064516129035,14.365,25.567,0.0027662517289073,0.28079277,0.045769002,0.3280864,-0.0634074,-0.017122652,-0.04311128,-0.09855624,0.008838132,0.14108805,0.10981648,-0.06796777,-0.0010980739,-0.136114,0.05678811,-0.019087886,0.039572578,-0.023674106,-0.096240856,0.10325752,0.115613386,-0.008927414,0.05322695,-0.07792288,-0.05973487,-0.059914984,-0.086106986,-0.013612016,-0.00059452583,0.019778905,-0.09761841,0.087708525,0.051052026,1394,-0.03862069,0,1.0
2016-09,336.75,328.9047619047619,0.1169154228855722,21,302.0,342.25,301.75,1756137,1394,1430.75,-0.03862069,20,1450,1473,1382,1392,7582968,10860614.39,982819,1392,2246,2284.9,-0.044255319,2693,2660.0,0.0405718701700155,2377.33,2375.5645,0.0016853956255555,2377.33,2375.5645,0.0016853956255555,2377.33,2375.4863333333333,0.0016853956255555,2246,2280.2,-0.044255319,2693,2658.2,0.0405718701700155,30,53880,4,9316,30,2016,9,1005,19022848,34396215,1.8081527539935127,53.87299999999999,1.7957666666666663,14.680466666666666,6.024,17.617,417,105.98900000000002,3.532966666666668,15.534966666666664,7.003,19.972,108.50700000000002,3.6169000000000007,13.991366666666668,5.993,19.127,-0.03862069,-0.031209683,0.024498718,0.4054787,0.05825117,-0.17639954,-0.035889156,0.034574073,-0.03262359,-0.06724404,0.0035581104,0.06700669,-0.0012041578,-0.010354835,0.10581338,-0.042395785,0.04210127,0.084583804,0.056866318,0.1589554,-0.053845223,-0.081055276,-0.027132235,0.002602934,0.032499116,0.059813257,0.037223164,-0.045444943,-0.087405324,0.0001230398,0.027948821,-0.042544812,-0.06056774,1517,0.0882352941176469,1,0.0
2016-10,354.75,349.48809523809524,0.0534521158129175,21,336.25,359.25,335.25,3551539,1517,1470.0,0.0882352941176469,16,1400,1538,1399,1519,6716398,9888551.42,849100,1524,2360,2357.1875,0.0507569011576134,2796,2771.125,0.0382473078351282,2388.67,2380.623125,0.0047700571649709,2388.67,2380.623125,0.0047700571649709,2388.67,2379.976129032258,0.0047700571649709,2360,2331.451612903226,0.0507569011576134,2796,2749.8387096774195,0.0382473078351282,18,35252,2,12198,31,2016,10,1005,14463818,35405480,2.4478654252978016,23.547000000000004,0.7595806451612904,3.287903225806453,-8.2,13.451,417,40.929,1.3202903225806453,4.245129032258064,-6.673,14.153,32.77,1.0570967741935482,-0.08216129,-9.644,10.724,0.0882352941176469,0.089832395,0.10487232,0.22389609,-0.0813289,-0.20121168,-0.13799186,-0.110135935,-0.033635926,-0.12754175,0.070464134,-0.015532881,-0.0022617164,0.011626412,-0.14931755,0.07680553,-0.21250753,-0.14451326,-0.06970679,-0.01264994,-0.08654075,-0.010809795,0.12787762,0.03972223,0.08503034,-0.059745815,0.07029392,-0.031158006,0.03019176,-0.011594695,-0.09060276,-0.052579932,-0.015361451,1544,0.0177982860909691,1,1.0
2016-11,336.75,344.9761904761905,-0.050739958,21,354.75,356.5,335.5,4101738,1544,1548.6363636363635,0.0177982860909691,22,1515,1633,1489,1551,9652768,14972831.4,887084,1546,2411,2436.181818181818,0.0216101694915253,2960,2879.5,0.0586552217453504,2398.0,2395.5154545454543,0.0039059392883906,2398.0,2395.5154545454543,0.0039059392883906,2398.0,2395.556,0.0039059392883906,2411,2430.4,0.0216101694915253,2960,2879.5666666666666,0.0586552217453504,38,71972,4,14716,30,2016,11,1005,31613802,77838533,2.4621693082027907,7.321999999999999,0.2440666666666666,-7.019466667,-15.916,0.633,417,25.155,0.8385,-7.161466667,-15.605,-1.181,22.382,0.7460666666666665,-12.6924,-20.212,-7.381,0.0177982860909691,-0.2410214,0.075181894,0.012402159,-0.004791254,-0.10076425,-0.052463025,-0.04483742,-0.13034981,-0.123220064,-0.001748837,0.13983408,0.026995827,0.01686026,-0.2723339,-0.09355716,-0.16701181,0.08677321,-0.026487922,0.0041948454,0.10724172,-0.08198089,0.07884733,-0.109531604,-0.06856595,-0.020871112,-0.05013902,0.06584649,0.08257318,0.029698709,0.03206068,0.015642405,-0.049053047,1519,-0.01619171,0,1.0
2016-12,352.0,349.67857142857144,0.0452858203414996,21,337.0,363.0,331.0,1222430,1519,1532.9545454545455,-0.01619171,22,1544,1589,1482,1519,12020563,18452028.05,0,1525,2588,2446.681818181818,0.0734135213604314,3035,3016.954545454545,0.0253378378378379,2428.0,2405.6045454545456,0.0125104253544621,2428.0,2405.6045454545456,0.0125104253544621,2428.0,2405.482580645161,0.0125104253544621,2588,2445.903225806452,0.0734135213604314,3035,3017.548387096774,0.0253378378378379,6,83068,4,13294,31,2016,12,1005,141431493,266490642,1.8842383428703533,2.889,0.0931935483870967,-11.27945161,-16.929,-5.51,417,13.474,0.4346451612903226,-11.836,-20.814,-2.459,6.388999999999999,0.2060967741935483,-18.65054839,-26.141,-8.338,-0.01619171,0.18995349,-0.10526013,0.39645568,0.011017999,-0.16697885,0.15742925,0.1295238,-0.04617759,-0.10606623,-0.11733384,0.0071589407,0.056597438,0.0049349046,0.11049135,0.030652713,-0.060988568,-0.083345845,0.06914172,-0.046803445,0.008848465,-0.04015014,0.06606394,0.04092779,0.08614699,-0.028521463,0.06347415,-0.04243809,0.061747428,0.046449605,-0.10877443,0.10382537,0.034150455,1560,0.0269914417379855,1,0.0
2017-01,359.75,361.8125,0.0220170454545454,20,352.0,371.0,351.5,3621970,1560,1534.4444444444443,0.0269914417379855,18,1518,1582,1498,1559,10573264,16251499.76,0,1552,2444,2556.555555555556,-0.055641422,3004,3002.722222222222,-0.010214168,2452.67,2450.7512500000003,0.010160626029654,2452.67,2450.7512500000003,0.010160626029654,2452.67,2450.001612903226,0.010160626029654,2444,2547.935483870968,-0.055641422,3004,3004.548387096774,-0.010214168,6,75180,0,12780,31,2017,1,1005,158876669,229097001,1.4419801374360386,1.5849999999999995,0.0511290322580645,-14.4623871,-19.071,-9.387,417,6.55,0.2112903225806451,-14.87890323,-21.191,-8.769,5.01,0.1616129032258064,-20.44045161,-26.452,-13.665,0.0269914417379855,0.293151,-0.21560583,0.33387432,-0.072269075,-0.055922396,0.08572544,0.1408729,-0.04452799,0.13023454,-0.08369592,-0.10310452,-0.016199037,-0.083023205,-0.0251564,0.113034874,0.03904939,0.059417658,0.054271426,0.06304805,0.06409322,-0.09847319,-0.029657891,-0.019755881,-0.050857622,-0.032869365,0.06408844,-0.03010695,0.034610398,-0.025387868,0.022801504,-0.0154070975,-0.0005077871,1603,0.0275641025641024,1,1.0
2017-02,366.75,369.2105263157895,0.0194579569145239,19,360.0,380.0,358.0,3710339,1603,1588.7777777777778,0.0275641025641024,18,1558,1632,1553,1605,15678930,24976810.83,1243639,1602,2479,2448.555555555556,0.0143207855973812,3155,3057.777777777778,0.0502663115845538,2452.0,2450.8894444444445,-0.000273172,2452.0,2450.8894444444445,-0.000273172,2452.0,2451.096071428572,-0.000273172,2479,2447.0,0.0143207855973812,3155,3049.928571428572,0.0502663115845538,8,79010,2,17170,28,2017,2,1005,142792773,215709381,1.510646347627131,5.62,0.2007142857142857,-9.556857143,-14.008,-4.068,417,15.318,0.5470714285714285,-10.86010714,-17.006,-2.687,7.459,0.2663928571428571,-15.12832143,-21.745,-7.379,0.0275641025641024,-0.32489544,0.09338348,-0.09819547,-0.058127206,-0.12428399,0.12972797,0.14864707,0.0718906,0.080811925,-0.05739609,0.00048861036,-0.06960213,0.14044046,-0.031036252,0.130027,-0.008320919,-0.024200018,0.0869489,0.08742133,0.0036402184,0.074238405,-0.039900895,0.042137258,-0.00899469,-0.06981937,-0.04202013,0.0589671,0.062414303,-0.08552257,-0.070133634,-0.036998782,0.026978754,1672,0.0430442919525888,1,1.0
2017-03,364.25,362.7826086956522,-0.006816633,23,366.25,377.0,353.0,1857209,1672,1669.1304347826087,0.0430442919525888,23,1608,1722,1593,1672,15866685,26520418.120000005,1136303,1671,2593,2452.695652173913,0.0459862847922549,3168,3134.3478260869565,0.004120443740095,2486.0,2468.0578260869565,0.0138662316476345,2486.0,2468.0578260869565,0.0138662316476345,2486.0,2466.967419354839,0.0138662316476345,2593,2452.516129032258,0.0459862847922549,3168,3132.0,0.004120443740095,28,104688,2,15640,31,2017,3,1005,5262058,21067218,4.003608094019488,6.51,0.21,-2.416193548,-10.206,2.661,417,3.884,0.1252903225806451,-1.928935484,-10.73,3.364,5.317,0.171516129032258,-4.791677419,-17.71,1.762,0.0430442919525888,0.19305544,-0.1156224,0.32724378,0.0030788775,0.015653709,-0.030549027,-0.08742354,-0.11965369,0.12734847,-0.072124824,-0.057610147,-0.029861355,0.08932125,0.057160374,0.04391028,-0.07423832,0.10543438,0.19963114,-0.12376291,0.027562624,-0.12707886,-0.1150047,-0.05617303,0.06312316,-0.045682717,-0.13020164,-0.036209065,0.054674257,0.008068392,-0.047798544,0.016767666,-0.058625005,1622,-0.029904306,0,1.0
